run,project,tp,fp,fn,f1,canonical
run1,mediastore,29,0,2,0.966667,
run1,teastore,26,0,1,0.981132,
run1,teammates,50,12,7,0.840336,
run1,bigbluebutton,40,4,22,0.754717,
run1,jabref,16,1,2,0.914286,
run1,MACRO,,,,0.891428,
run2,mediastore,29,1,2,0.950820,
run2,teastore,26,0,1,0.981132,
run2,teammates,48,10,9,0.834783,
run2,bigbluebutton,41,3,21,0.773585,
run2,jabref,16,0,2,0.941176,
run2,MACRO,,,,0.896299,
run3,mediastore,29,1,2,0.950820,yes
run3,teastore,26,0,1,0.981132,yes
run3,teammates,48,10,9,0.834783,yes
run3,bigbluebutton,40,3,22,0.761905,yes
run3,jabref,16,0,2,0.941176,yes
run3,MACRO,,,,0.893963,yes
