variant,project,tp,fp,fn,f1
Full,mediastore,21,0,10,0.807692
NoEntityValid,mediastore,29,0,2,0.966667
NoCitation,mediastore,21,0,10,0.807692
NoValidator,mediastore,29,0,2,0.966667
