variant,project,tp,fp,fn,f1
Full,mediastore,30,1,1,0.967742
NoEntityValid,mediastore,31,4,0,0.939394
NoCitation,mediastore,30,1,1,0.967742
NoValidator,mediastore,31,4,0,0.939394
