variant,project,tp,fp,fn,f1
Full,bigbluebutton,44,1,18,0.822430
NoEntityValid,bigbluebutton,45,2,17,0.825688
NoCitation,bigbluebutton,45,7,17,0.789474
NoValidator,bigbluebutton,46,8,16,0.793103
