dataset,gold_links,transarc_links,transarc_link_f1,transarc_component_f1,transarc_sentence_coverage,transarc_noise_rate,transarc_sentence_f1,transarc_hus,transarc_mcc,transarc_map,s19_claude_links,s19_claude_link_f1,s19_claude_component_f1,s19_claude_sentence_coverage,s19_claude_noise_rate,s19_claude_sentence_f1,s19_claude_hus,s19_claude_mcc,s19_claude_map,s19_openai_links,s19_openai_link_f1,s19_openai_component_f1,s19_openai_sentence_coverage,s19_openai_noise_rate,s19_openai_sentence_f1,s19_openai_hus,s19_openai_mcc,s19_openai_map,s11_links,s11_link_f1,s11_component_f1,s11_sentence_coverage,s11_noise_rate,s11_sentence_f1,s11_hus,s11_mcc,s11_map,s13f_links,s13f_link_f1,s13f_component_f1,s13f_sentence_coverage,s13f_noise_rate,s13f_sentence_f1,s13f_hus,s13f_mcc,s13f_map,s15_gpt_links,s15_gpt_link_f1,s15_gpt_component_f1,s15_gpt_sentence_coverage,s15_gpt_noise_rate,s15_gpt_sentence_f1,s15_gpt_hus,s15_gpt_mcc,s15_gpt_map,s15_claude_links,s15_claude_link_f1,s15_claude_component_f1,s15_claude_sentence_coverage,s15_claude_noise_rate,s15_claude_sentence_f1,s15_claude_hus,s15_claude_mcc,s15_claude_map
mediastore,31,18,0.6939,0.6939,0.5926,0.0588,0.7273,0.7273,0.7109,0.5741,27,0.931,0.931,0.9259,0.0,0.9615,0.9615,0.9305,0.8889,30,0.9508,0.9508,0.963,0.037,0.963,0.963,0.9487,0.963,32,0.9841,0.9841,1.0,0.0185,1.0,0.9811,0.9835,1.0,0,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—
teastore,27,20,0.8511,0.8511,0.6957,0.0,0.8205,0.8205,0.8569,0.6957,28,0.9818,0.9818,1.0,0.0417,0.9787,0.9787,0.9814,1.0,26,0.9811,0.9811,0.9565,0.0,0.9778,0.9778,0.9807,0.9565,32,0.9153,0.9153,1.0,0.1538,0.9388,0.8936,0.9156,1.0,0,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—
teammates,57,81,0.7101,0.7101,0.8444,0.447,0.7027,0.6515,0.7144,0.8,57,0.9123,0.9123,0.9556,0.0957,0.9348,0.9235,0.9104,0.9111,59,0.8621,0.8621,0.9333,0.1633,0.8936,0.8709,0.8593,0.8667,44,0.8515,0.8515,0.7333,0.0294,0.8354,0.8354,0.8562,0.7222,0,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—
bigbluebutton,62,49,0.7928,0.7928,0.8125,0.0813,0.8764,0.844,0.7925,0.7095,54,0.8966,0.8966,0.8958,0.0341,0.9348,0.9243,0.8956,0.8507,46,0.8148,0.8148,0.8333,0.0476,0.8889,0.8889,0.8191,0.7674,59,0.9587,0.9587,0.9792,0.0208,0.9792,0.9792,0.9576,0.9549,0,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—
jabref,18,20,0.9474,0.9474,1.0,0.1,1.0,0.8889,0.9327,0.95,19,0.973,0.973,1.0,0.0909,0.9524,0.9524,0.9652,1.0,18,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,19,0.973,0.973,1.0,0.0909,0.9524,0.9524,0.9652,1.0,0,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—
Average,,,0.799,0.799,0.789,0.1374,0.8254,0.7864,0.8015,0.7458,,0.9389,0.9389,0.9555,0.0525,0.9524,0.9481,0.9366,0.9301,,0.9218,0.9218,0.9372,0.0496,0.9446,0.9401,0.9216,0.9107,,0.9365,0.9365,0.9425,0.0627,0.9412,0.9283,0.9356,0.9354,,—,—,—,—,—,—,—,—,,—,—,—,—,—,—,—,—,,—,—,—,—,—,—,—,—
