dataset,transarc_links,transarc_file_f1,transarc_component_f1,transarc_sentence_coverage,transarc_noise_rate,transarc_hus,transarc_ndg,transarc_decision_f1,transarc_weighted_f1,transarc_acf1,transarc_mcc,s19_claude_links,s19_claude_file_f1,s19_claude_component_f1,s19_claude_sentence_coverage,s19_claude_noise_rate,s19_claude_hus,s19_claude_ndg,s19_claude_decision_f1,s19_claude_weighted_f1,s19_claude_acf1,s19_claude_mcc,s19_openai_links,s19_openai_file_f1,s19_openai_component_f1,s19_openai_sentence_coverage,s19_openai_noise_rate,s19_openai_hus,s19_openai_ndg,s19_openai_decision_f1,s19_openai_weighted_f1,s19_openai_acf1,s19_openai_mcc,s11_links,s11_file_f1,s11_component_f1,s11_sentence_coverage,s11_noise_rate,s11_hus,s11_ndg,s11_decision_f1,s11_weighted_f1,s11_acf1,s11_mcc,s13f_links,s13f_file_f1,s13f_component_f1,s13f_sentence_coverage,s13f_noise_rate,s13f_hus,s13f_ndg,s13f_decision_f1,s13f_weighted_f1,s13f_acf1,s13f_mcc,s15_gpt_links,s15_gpt_file_f1,s15_gpt_component_f1,s15_gpt_sentence_coverage,s15_gpt_noise_rate,s15_gpt_hus,s15_gpt_ndg,s15_gpt_decision_f1,s15_gpt_weighted_f1,s15_gpt_acf1,s15_gpt_mcc,s15_claude_links,s15_claude_file_f1,s15_claude_component_f1,s15_claude_sentence_coverage,s15_claude_noise_rate,s15_claude_hus,s15_claude_ndg,s15_claude_decision_f1,s15_claude_weighted_f1,s15_claude_acf1,s15_claude_mcc
mediastore,26,0.5882,0.6415,0.64,0.0588,0.7619,0.5299,0.5679,0.5679,0.7391,0.6298,57,0.9828,0.9855,1.0,0.0,1.0,0.9803,0.9821,0.9821,0.9818,0.9822,56,0.9565,0.9565,0.96,0.04,0.96,0.9504,0.955,0.955,0.9643,0.9551,55,0.9123,0.9722,1.0,0.024,0.9796,0.8999,0.9091,0.9091,0.9545,0.9093,0,—,—,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—,—,—
teastore,501,0.8295,0.8283,0.6957,0.0,0.8205,0.8062,0.8235,0.8235,0.8511,0.8132,709,0.9986,0.9915,1.0,0.0417,0.9787,0.9984,0.9859,0.9859,0.9818,0.9982,677,0.9783,0.9825,0.9565,0.0,0.9778,0.9754,0.9855,0.9855,0.9811,0.9735,785,0.9477,0.8992,1.0,0.133,0.8936,0.9406,0.8642,0.8642,0.9153,0.9361,0,—,—,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—,—,—
teammates,9702,0.8211,0.6476,0.5978,0.2991,0.5911,0.927,0.5638,0.5619,0.624,0.8012,6489,0.8603,0.5543,0.4565,0.068,0.6078,0.9744,0.5833,0.5808,0.6302,0.8517,7479,0.8014,0.5591,0.4674,0.111,0.6026,0.9031,0.5249,0.5229,0.6135,0.7789,5279,0.785,0.4588,0.337,0.0132,0.4999,0.8833,0.4984,0.4998,0.5366,0.7859,0,—,—,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—,—,—
bigbluebutton,1569,0.8309,0.5741,0.8222,0.2114,0.4046,0.8503,0.6287,0.6234,0.3467,0.8057,1358,0.8666,0.9139,0.8889,0.0476,0.9195,0.8895,0.8345,0.8323,0.9073,0.8503,1369,0.8578,0.8356,0.8222,0.075,0.8706,0.8798,0.797,0.7935,0.8502,0.8399,1709,0.8789,0.5992,0.9778,0.1855,0.4385,0.9029,0.6466,0.6424,0.3234,0.8618,0,—,—,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—,—,—
jabref,9262,0.9433,0.88,1.0,0.0823,0.6667,0.9148,0.3938,0.3938,0.8571,0.9022,8518,0.9851,0.9778,1.0,0.0909,0.9524,0.9776,0.6281,0.6281,0.973,0.9742,8268,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8522,0.9849,0.898,1.0,0.0912,0.7059,0.9773,0.608,0.608,0.878,0.9738,0,—,—,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—,—,—,0,—,—,—,—,—,—,—,—,—,—
Average,,0.8026,0.7143,0.7511,0.1303,0.649,0.8056,0.5955,0.5941,0.6836,0.7904,,0.9387,0.8846,0.8691,0.0496,0.8917,0.964,0.8028,0.8019,0.8948,0.9313,,0.9188,0.8667,0.8412,0.0452,0.8822,0.9417,0.8525,0.8514,0.8818,0.9095,,0.9018,0.7655,0.8629,0.0894,0.7035,0.9208,0.7052,0.7047,0.7216,0.8934,,—,—,—,—,—,—,—,—,—,—,,—,—,—,—,—,—,—,—,—,—,,—,—,—,—,—,—,—,—,—,—
