system,n_projects,noenroll_P,noenroll_R,noenroll_F1,enrolled_F1,inflation_gap
artemis-gpt5.4,5,0.6424,0.6912,0.6318,0.8488,0.2171
transarc,5,0.4628,0.6908,0.3911,0.8026,0.4115
lissa-gpt-5-mini,3,0.0788,0.5721,0.1384,0.1982,0.0599
s20U(mean3),5,0.6459,0.7952,0.6823,0.9061,0.2238
