project,system,micro,macro,gap,min_comp,pct_missed,gold_gini
mediastore,swattr/transarc,0.7391,0.7341,0.0050,0.0000,0.2222,0.3254
mediastore,s20linker,0.9630,0.9791,-0.0161,0.8889,0.0000,0.3254
mediastore,artemis,0.9231,0.9538,-0.0307,0.7273,0.0000,0.3254
teastore,swattr/transarc,0.8511,0.8593,-0.0082,0.6667,0.0000,0.1790
teastore,s20linker,0.9811,0.9848,-0.0037,0.9091,0.0000,0.1790
teastore,artemis,0.8333,0.8441,-0.0108,0.6667,0.0000,0.1790
teammates,swattr/transarc,0.7158,0.7363,-0.0205,0.5128,0.0000,0.3115
teammates,s20linker,0.6272,0.6996,-0.0724,0.4324,0.0000,0.3115
teammates,artemis,0.5419,0.6018,-0.0598,0.3333,0.0000,0.3115
bigbluebutton,swattr/transarc,0.8322,0.8827,-0.0505,0.7429,0.0000,0.4063
bigbluebutton,s20linker,0.7941,0.7404,0.0537,0.4000,0.0000,0.4063
bigbluebutton,artemis,0.7941,0.7433,0.0508,0.0000,0.1000,0.4063
jabref,swattr/transarc,0.9565,0.9481,0.0084,0.8000,0.0000,0.1970
jabref,s20linker,0.9302,0.8611,0.0691,0.5000,0.0000,0.1970
jabref,artemis,0.9524,0.8333,0.1190,0.0000,0.1667,0.1970
AVG,swattr/transarc,0.8189,0.8321,-0.0132,0.5445,0.0444,0.2838
AVG,s20linker,0.8591,0.8530,0.0061,0.6261,0.0000,0.2838
AVG,artemis,0.8090,0.7953,0.0137,0.3455,0.0533,0.2838
