project,precision,recall,f1,tp,fp,fn,n_pred
mediastore,0.07644628099173553,0.6271186440677966,0.13627992633517494,37,447,22,484
teastore,0.3566775244299674,0.30975954738330974,0.33156699470098405,219,395,488,614
bigbluebutton,0.1487676056338028,0.1105297580117724,0.12682926829268293,169,967,1360,1136
teammates,—,—,—,—,—,—,—
jabref,—,—,—,—,—,—,—
