dataset,gold_enrolled,gold_raw,ta_links,ta_file_TP,ta_file_FP,ta_file_FN,ta_file_P,ta_file_R,ta_file_F1,ta_dec_TP,ta_dec_FP,ta_dec_FN,ta_dec_P,ta_dec_R,ta_dec_F1,ta_comp_TP,ta_comp_FP,ta_comp_FN,ta_comp_P,ta_comp_R,ta_comp_F1,ta_wt_P,ta_wt_R,ta_wt_F1,s12c_links,s12c_file_TP,s12c_file_FP,s12c_file_FN,s12c_file_P,s12c_file_R,s12c_file_F1,s12c_dec_TP,s12c_dec_FP,s12c_dec_FN,s12c_dec_P,s12c_dec_R,s12c_dec_F1,s12c_comp_TP,s12c_comp_FP,s12c_comp_FN,s12c_comp_P,s12c_comp_R,s12c_comp_F1,s12c_wt_P,s12c_wt_R,s12c_wt_F1,s12e_links,s12e_file_TP,s12e_file_FP,s12e_file_FN,s12e_file_P,s12e_file_R,s12e_file_F1,s12e_dec_TP,s12e_dec_FP,s12e_dec_FN,s12e_dec_P,s12e_dec_R,s12e_dec_F1,s12e_comp_TP,s12e_comp_FP,s12e_comp_FN,s12e_comp_P,s12e_comp_R,s12e_comp_F1,s12e_wt_P,s12e_wt_R,s12e_wt_F1,delta_s12c_file_F1,delta_s12c_dec_F1,delta_s12c_comp_F1,delta_s12c_wt_F1,delta_s12e_file_F1,delta_s12e_dec_F1,delta_s12e_comp_F1,delta_s12e_wt_F1
mediastore,59,57,26,25,1,34,96.2,42.4,58.8,23,1,34,95.8,40.4,56.8,17,1,18,94.4,48.6,64.2,95.8,40.4,56.8,53,52,1,7,98.1,88.1,92.9,50,1,7,98.0,87.7,92.6,35,1,0,97.2,100.0,98.6,98.0,87.7,92.6,55,52,3,7,94.5,88.1,91.2,50,3,7,94.3,87.7,90.9,35,2,0,94.6,100.0,97.2,94.3,87.7,90.9,34.1,35.8,34.4,35.8,32.4,34.1,33.0,34.1
teastore,707,70,501,501,0,206,100.0,70.9,82.9,49,0,21,100.0,70.0,82.4,41,0,17,100.0,70.7,82.8,100.0,70.0,82.4,677,677,0,30,100.0,95.8,97.8,68,0,2,100.0,97.1,98.6,56,0,2,100.0,96.6,98.2,100.0,97.1,98.6,677,677,0,30,100.0,95.8,97.8,68,0,2,100.0,97.1,98.6,56,0,2,100.0,96.6,98.2,100.0,97.1,98.6,14.9,16.2,15.4,16.2,14.9,16.2,15.4,16.2
teammates,8097,228,9702,7307,2395,790,75.3,90.2,82.1,137,123,89,52.7,60.6,56.4,136,22,126,86.1,51.9,64.8,51.5,59.8,55.3,6167,6076,91,2021,98.5,75.0,85.2,91,8,135,91.9,40.3,56.0,96,2,166,98.0,36.6,53.3,91.4,38.7,54.4,6314,6223,91,1874,98.6,76.9,86.4,96,8,130,92.3,42.5,58.2,102,2,160,98.1,38.9,55.7,91.8,41.0,56.7,3.1,-0.4,-11.5,-0.9,4.3,1.8,-9.1,1.4
bigbluebutton,1529,132,1569,1287,282,242,82.0,84.2,83.1,105,97,27,52.0,79.5,62.9,124,150,34,45.3,78.5,57.4,51.5,79.0,62.3,1535,1304,231,225,85.0,85.3,85.1,104,87,28,54.5,78.8,64.4,120,113,38,51.5,75.9,61.4,54.0,78.4,63.9,1700,1374,326,155,80.8,89.9,85.1,112,103,20,52.1,84.8,64.6,134,140,24,48.9,84.8,62.0,51.6,84.5,64.1,2.0,1.5,4.0,1.6,2.0,1.7,4.6,1.8
jabref,8268,38,9262,8268,994,0,89.3,100.0,94.3,38,117,0,24.5,100.0,39.4,22,6,0,78.6,100.0,88.0,24.5,100.0,39.4,8272,8268,4,0,100.0,100.0,100.0,38,4,0,90.5,100.0,95.0,22,4,0,84.6,100.0,91.7,90.5,100.0,95.0,8272,8268,4,0,100.0,100.0,100.0,38,4,0,90.5,100.0,95.0,22,4,0,84.6,100.0,91.7,90.5,100.0,95.0,5.7,55.6,3.7,55.6,5.7,55.6,3.7,55.6
MACRO_AVG,,,,,,,,,80.2,,,,,,59.6,,,,,,71.4,,,59.2,,,,,,,92.2,,,,,,81.3,,,,,,80.6,,,80.9,,,,,,,92.1,,,,,,81.5,,,,,,81.0,,,81.1,12.0,21.7,9.2,21.7,11.9,21.9,9.6,21.9
