system,backend,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_sentence_coverage,doc_to_model_noise_rate,doc_to_model_silent_failure_mass,doc_to_model_silent_failure_count,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
approach (GPT-5.4),gpt-5.4,mediastore,1.0000,0.9247,0.9608,0.9506,0.0000,0.0000,0.0000,1.0000,0.8192,0.9005,0.9755,0.9117,0.9863,0.9467,0.0000
approach (GPT-5.4),gpt-5.4,teastore,1.0000,0.9259,0.9615,0.9565,0.0000,0.0000,0.0000,1.0000,0.9307,0.9641,0.9615,0.9091,0.9677,0.9565,0.0000
approach (GPT-5.4),gpt-5.4,teammates,0.9608,0.8480,0.9008,0.9111,0.0455,0.0000,0.0000,0.9234,0.7352,0.8181,0.5787,0.3333,0.5903,0.4239,0.0482
approach (GPT-5.4),gpt-5.4,bigbluebutton,0.9863,0.7581,0.8571,0.8681,0.0116,0.0000,0.0000,0.8921,0.8101,0.8489,0.8985,0.6111,0.8748,0.8815,0.1351
approach (GPT-5.4),gpt-5.4,jabref,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.9995,1.0000,0.9998,1.0000,1.0000,1.0000,1.0000,0.0003
approach (Claude),claude,mediastore,0.9769,0.9140,0.9437,0.9630,0.0252,3.7037,0.3333,0.9864,0.8079,0.8881,0.9576,0.7407,0.9478,0.9600,0.0267
approach (Claude),claude,teastore,0.9548,0.9877,0.9701,0.9855,0.0524,0.0000,0.0000,0.9949,0.9910,0.9929,0.9701,0.9394,0.9891,0.9855,0.0524
approach (Claude),claude,teammates,0.9442,0.8830,0.9123,0.9407,0.0526,0.0000,0.0000,0.9724,0.7493,0.8463,0.6099,0.3333,0.6085,0.4312,0.0419
approach (Claude),claude,bigbluebutton,0.9645,0.7204,0.8242,0.8125,0.0405,4.1667,1.0000,0.8981,0.7517,0.8156,0.8907,0.0000,0.0000,0.8370,0.1458
approach (Claude),claude,jabref,0.9649,1.0000,0.9820,1.0000,0.0333,0.0000,0.0000,0.9981,1.0000,0.9990,0.9852,0.8667,0.9733,1.0000,0.0019
approach s20union (GPT-5.4),gpt-5.4,mediastore,0.9778,0.9355,0.9561,0.9877,0.0238,0.0000,0.0000,0.9861,0.8079,0.8881,0.9576,0.7521,0.9483,0.9600,0.0267
approach s20union (GPT-5.4),gpt-5.4,teastore,1.0000,0.9630,0.9811,0.9565,0.0000,0.0000,0.0000,1.0000,0.9576,0.9783,0.9811,0.9091,0.9836,0.9565,0.0000
approach s20union (GPT-5.4),gpt-5.4,teammates,0.8205,0.8538,0.8366,0.9037,0.1955,0.0000,0.0000,0.8241,0.7546,0.7871,0.6294,0.4152,0.6474,0.4746,0.1327
approach s20union (GPT-5.4),gpt-5.4,bigbluebutton,0.9237,0.6505,0.7634,0.7778,0.0603,1.3889,0.3333,0.7547,0.6915,0.7217,0.8019,0.2667,0.4727,0.7630,0.1924
approach s20union (GPT-5.4),gpt-5.4,jabref,0.9804,0.8889,0.9322,0.9000,0.0185,0.0000,0.0000,0.9988,0.9969,0.9978,0.9450,0.6111,0.8381,0.9000,0.0012
approach s20union (Claude),claude,mediastore,0.9788,0.9570,0.9670,0.9877,0.0123,0.0000,0.0000,0.9636,0.8362,0.8930,0.9694,0.9000,0.9831,0.9733,0.0160
approach s20union (Claude),claude,teastore,0.9221,1.0000,0.9590,1.0000,0.0790,0.0000,0.0000,0.9935,1.0000,0.9967,0.9590,1.0000,1.0000,1.0000,0.0790
approach s20union (Claude),claude,teammates,0.9065,0.9064,0.9064,0.9556,0.0991,0.0000,0.0000,0.9658,0.7720,0.8581,0.6260,0.3333,0.6193,0.4565,0.0683
approach s20union (Claude),claude,bigbluebutton,0.9564,0.7097,0.8143,0.8056,0.0379,1.3889,0.3333,0.8720,0.7194,0.7878,0.8633,0.2667,0.5204,0.8074,0.1586
approach s20union (Claude),claude,jabref,0.9825,1.0000,0.9910,1.0000,0.0303,0.0000,0.0000,0.9897,1.0000,0.9948,0.9926,0.9744,0.9954,1.0000,0.0306
Artemis (GPT-5.4),gpt-5.4,mediastore,1.0000,0.8710,0.9310,0.9259,0.0000,0.0000,0.0000,1.0000,0.7797,0.8762,0.9231,0.7273,0.9432,0.8800,0.0000
Artemis (GPT-5.4),gpt-5.4,teastore,0.9524,0.7407,0.8333,0.6957,0.0588,0.0000,0.0000,0.9901,0.7086,0.8261,0.8333,0.6667,0.8304,0.6957,0.0588
Artemis (GPT-5.4),gpt-5.4,teammates,0.7692,0.7018,0.7339,0.7111,0.2500,11.1111,1.0000,0.8646,0.6686,0.7541,0.5419,0.3333,0.5545,0.3587,0.0811
Artemis (GPT-5.4),gpt-5.4,bigbluebutton,0.9268,0.6129,0.7379,0.7083,0.0500,4.1667,1.0000,0.8519,0.7371,0.7903,0.7941,0.0000,0.0000,0.7111,0.1589
Artemis (GPT-5.4),gpt-5.4,jabref,1.0000,0.8889,0.9412,0.9000,0.0000,20.0000,1.0000,0.9995,0.9956,0.9976,0.9524,0.0000,0.0000,0.9000,0.0003
TransArC,deterministic,mediastore,0.9444,0.5484,0.6939,0.5926,0.0588,37.0370,3.0000,0.9615,0.4237,0.5882,0.7391,0.0000,0.0000,0.6400,0.0588
TransArC,deterministic,teastore,1.0000,0.7407,0.8511,0.6957,0.0000,0.0000,0.0000,1.0000,0.7086,0.8295,0.8511,0.6667,0.8421,0.6957,0.0000
TransArC,deterministic,teammates,0.6049,0.8596,0.7101,0.8444,0.4470,0.0000,0.0000,0.7531,0.9024,0.8211,0.7158,0.5128,0.7144,0.5978,0.2991
TransArC,deterministic,bigbluebutton,0.8980,0.7097,0.7928,0.8125,0.0813,0.0000,0.0000,0.8203,0.8417,0.8309,0.8322,0.7429,0.8695,0.8222,0.2114
TransArC,deterministic,jabref,0.9000,1.0000,0.9474,1.0000,0.1000,0.0000,0.0000,0.8927,1.0000,0.9433,0.9565,0.8000,0.9412,1.0000,0.0823
