project,link_f1,sentence_f1,decision_f1,component_f1,file_f1,weighted_f1,sentence_coverage,noise_rate,mcc,map,acf1,ndg,hus
mediastore,—,—,0.568,0.642,0.588,0.568,0.640,0.059,0.630,—,0.739,0.516,0.762
teastore,—,—,0.824,0.828,0.829,0.824,0.696,0.000,0.813,—,0.851,0.806,0.821
teammates,—,—,0.564,0.716,0.821,0.562,0.598,0.299,0.801,—,0.624,0.927,0.591
bigbluebutton,—,—,0.629,0.832,0.831,0.623,0.822,0.211,0.806,—,0.347,0.850,0.405
jabref,—,—,0.394,0.957,0.943,0.394,1.000,0.082,0.902,—,0.857,0.915,0.667
Average,—,—,0.596,0.795,0.803,0.594,0.751,0.130,0.790,—,0.684,0.803,0.649
