project,system,micro,macro,gap,min_comp,pct_missed,gold_gini
mediastore,swattr/transarc,0.6939,0.6607,0.0332,0.0000,0.3000,0.3065
mediastore,s20linker,0.8621,0.8246,0.0375,0.0000,0.1000,0.3065
mediastore,artemis,0.9310,0.9584,-0.0274,0.7273,0.0000,0.3065
teastore,swattr/transarc,0.8511,0.8593,-0.0082,0.6667,0.0000,0.1790
teastore,s20linker,0.7742,0.7656,0.0086,0.5000,0.0000,0.1790
teastore,artemis,0.8333,0.8441,-0.0108,0.6667,0.0000,0.1790
teammates,swattr/transarc,0.7101,0.6805,0.0297,0.5000,0.0000,0.2610
teammates,s20linker,0.7805,0.8012,-0.0207,0.5714,0.0000,0.2610
teammates,artemis,0.7339,0.7464,-0.0125,0.0000,0.1250,0.2610
bigbluebutton,swattr/transarc,0.7928,0.8276,-0.0348,0.4444,0.0000,0.3695
bigbluebutton,s20linker,0.8197,0.8307,-0.0110,0.4348,0.0000,0.3695
bigbluebutton,artemis,0.7379,0.7172,0.0207,0.0000,0.0909,0.3695
jabref,swattr/transarc,0.9474,0.9378,0.0096,0.8000,0.0000,0.2222
jabref,s20linker,0.9474,0.9378,0.0096,0.8000,0.0000,0.2222
jabref,artemis,0.9412,0.8000,0.1412,0.0000,0.2000,0.2222
AVG,swattr/transarc,0.7990,0.7932,0.0059,0.4822,0.0600,0.2676
AVG,s20linker,0.8368,0.8320,0.0048,0.4612,0.0200,0.2676
AVG,artemis,0.8355,0.8132,0.0222,0.2788,0.0832,0.2676
