reference,metric,metric_label,spearman_rho,n_cells
file_f1,sentence_coverage,sentence coverage,0.9016,15
file_f1,worst_component_f1,worst-component F1,0.6655,15
file_f1,harmonic_component_f1,harmonic-component F1,0.6953,15
