system,run,doc_to_code_file_f1,doc_to_code_sentence_coverage,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,note
TransArC,single,0.8026,0.7511,0.5445,0.6734,
Artemis (GPT-5.4),single,0.8488,0.7091,0.3455,0.4656,
approach (GPT-5.4),run1,0.9101,0.8436,0.7331,0.8792,
approach (GPT-5.4),run2,0.9039,0.8401,0.7596,0.8887,
approach (GPT-5.4),run3,0.9048,0.8414,0.7664,0.8836,
approach (GPT-5.4),average,0.9063,0.8417,0.7530,0.8838,
approach (Claude),run1,0.9195,0.8523,0.5418,0.6988,
approach (Claude),run2,0.9148,0.8436,0.5863,0.7055,
approach (Claude),run3,0.8909,0.8323,0.6000,0.7069,
approach (Claude),average,0.9084,0.8427,0.5760,0.7038,
approach s20union (GPT-5.4),run1,0.8742,0.8122,0.5539,0.6879,
approach s20union (GPT-5.4),run2,0.8769,0.8123,0.6059,0.8231,
approach s20union (GPT-5.4),run3,0.8727,0.8079,0.6127,0.8232,
approach s20union (GPT-5.4),average,0.8746,0.8108,0.5908,0.7780,
approach s20union (Claude),run1,0.9101,0.8557,0.7333,0.8783,
approach s20union (Claude),run2,0.8973,0.8287,0.6979,0.8698,
approach s20union (Claude),run3,0.9108,0.8579,0.6533,0.7229,
approach s20union (Claude),average,0.9061,0.8475,0.6949,0.8237,
Delta (approach (GPT-5.4) - Artemis),run1,0.0613,0.1345,0.3876,0.4136,
Delta (approach (GPT-5.4) - Artemis),run2,0.0550,0.1310,0.4141,0.4231,
Delta (approach (GPT-5.4) - Artemis),run3,0.0560,0.1323,0.4210,0.4180,
Delta (approach (GPT-5.4) - Artemis),average,0.0574,0.1326,0.4076,0.4182,
Delta (approach (Claude) - Artemis),run1,0.0707,0.1432,0.1964,0.2332,
Delta (approach (Claude) - Artemis),run2,0.0660,0.1345,0.2408,0.2399,
Delta (approach (Claude) - Artemis),run3,0.0421,0.1232,0.2545,0.2413,
Delta (approach (Claude) - Artemis),average,0.0596,0.1336,0.2306,0.2381,
Delta (approach s20union (GPT-5.4) - Artemis),run1,0.0254,0.1031,0.2085,0.2223,
Delta (approach s20union (GPT-5.4) - Artemis),run2,0.0280,0.1032,0.2604,0.3574,
Delta (approach s20union (GPT-5.4) - Artemis),run3,0.0239,0.0988,0.2672,0.3575,
Delta (approach s20union (GPT-5.4) - Artemis),average,0.0258,0.1017,0.2454,0.3124,
Delta (approach s20union (Claude) - Artemis),run1,0.0613,0.1467,0.3879,0.4127,
Delta (approach s20union (Claude) - Artemis),run2,0.0485,0.1196,0.3525,0.4042,
Delta (approach s20union (Claude) - Artemis),run3,0.0619,0.1488,0.3079,0.2572,
Delta (approach s20union (Claude) - Artemis),average,0.0572,0.1384,0.3494,0.3580,
paper approach (GPT-5.4),paper,0.8700,0.8000,0.6200,0.7100,OUTDATED: gpt reasoning=medium (deleted v2.6.5_s20union_gpt_re_medium); live rows = no-reasoning v2.6.6
