variant,project,tp,fp,fn,f1
Full,mediastore,29,0,2,0.966667
NoEntityValid,mediastore,30,2,1,0.952381
NoCitation,mediastore,30,2,1,0.952381
NoValidator,mediastore,30,4,1,0.923077
