variant,project,tp,fp,fn,f1
Full,mediastore,19,0,12,0.760000
NoEntityValid,mediastore,28,1,3,0.933333
NoCitation,mediastore,19,1,12,0.745098
NoValidator,mediastore,28,2,3,0.918033
