variant,project,tp,fp,fn,f1
Full,teastore,25,0,2,0.961538
NoEntityValid,teastore,26,2,1,0.945455
NoCitation,teastore,26,0,1,0.981132
NoValidator,teastore,27,2,0,0.964286
