backend,run,variant,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_sentence_coverage_vs_full,delta_doc_to_code_noise_rate_vs_full
claude,run1,Full,0.967385,0.880043,0.919502,0.890546,0.541818,0.698802,0.852290,0.055638,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
claude,run1,NoEntityValid,0.943474,0.882686,0.910900,0.882355,0.532727,0.696375,0.854464,0.085148,-0.008602,-0.009091,-0.002427,+0.002174,+0.029509
claude,run1,NoCitation,0.937252,0.896159,0.915185,0.886045,0.535000,0.700951,0.869082,0.098435,-0.004317,-0.006818,+0.002149,+0.016792,+0.042797
claude,run1,NoValidator,0.918034,0.898802,0.907779,0.881424,0.540000,0.700793,0.871256,0.116578,-0.011723,-0.001818,+0.001991,+0.018966,+0.060939
claude,run2,Full,0.973248,0.867370,0.914803,0.888427,0.586263,0.705528,0.843594,0.039675,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
claude,run2,NoEntityValid,0.957994,0.870038,0.910037,0.876175,0.579444,0.696748,0.847942,0.083892,-0.004767,-0.006818,-0.008780,+0.004348,+0.044217
claude,run2,NoCitation,0.942025,0.890293,0.914593,0.887835,0.501667,0.691612,0.877778,0.107111,-0.000210,-0.084596,-0.013916,+0.034184,+0.067435
claude,run2,NoValidator,0.932210,0.892961,0.911538,0.882559,0.509020,0.687749,0.882126,0.127170,-0.003265,-0.077243,-0.017779,+0.038531,+0.087495
claude,run3,Full,0.969205,0.832570,0.890902,0.869103,0.600000,0.706931,0.832338,0.065867,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
claude,run3,NoEntityValid,0.918088,0.848704,0.878371,0.849385,0.532727,0.681119,0.841130,0.115864,-0.012531,-0.067273,-0.025812,+0.008792,+0.049997
claude,run3,NoCitation,0.932907,0.879803,0.903825,0.869518,0.535000,0.695507,0.861082,0.111894,+0.012923,-0.065000,-0.011424,+0.028744,+0.046028
claude,run3,NoValidator,0.891446,0.883903,0.885350,0.857546,0.540000,0.683031,0.865430,0.143534,-0.005552,-0.060000,-0.023900,+0.033092,+0.077667
claude,average,Full,0.969946,0.859994,0.908402,0.882692,0.576027,0.703754,0.842741,0.053727,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
claude,average,NoCitation,0.937395,0.888752,0.911201,0.881133,0.523889,0.696023,0.869314,0.105813,+0.002799,-0.052138,-0.007730,+0.026573,+0.052087
claude,average,NoEntityValid,0.939852,0.867143,0.899769,0.869305,0.548299,0.691414,0.847845,0.094968,-0.008633,-0.027727,-0.012340,+0.005105,+0.041241
claude,average,NoValidator,0.913897,0.891889,0.901556,0.873843,0.529673,0.690524,0.872937,0.129094,-0.006847,-0.046354,-0.013229,+0.030196,+0.075367
