backend,run,linker_set,macro_f1
openai,run1,entity_only,0.841736
openai,run1,coref_only,0.211380
openai,run1,full,0.893640
openai,run2,entity_only,0.821624
openai,run2,coref_only,0.200262
openai,run2,full,0.871884
openai,run3,entity_only,0.814799
openai,run3,coref_only,0.201767
openai,run3,full,0.868768
openai,average,entity_only,0.826053
openai,average,coref_only,0.204470
openai,average,full,0.878098
