backend,run,linker_set,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_sentence_coverage_vs_full,delta_doc_to_code_noise_rate_vs_full
openai,run1,Full,0.980609,0.805799,0.880826,0.857624,0.533333,0.665679,0.797063,0.028885,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
openai,run1,EntityOnly,0.984868,0.749527,0.844437,0.800685,0.500000,0.614756,0.708841,0.021556,-0.036388,-0.033333,-0.050922,-0.088222,-0.007329
openai,run1,CorefOnly,0.962808,0.119337,0.209941,0.202064,0.000000,0.000000,0.136870,0.050314,-0.670885,-0.533333,-0.665679,-0.660193,+0.021428
openai,run2,Full,0.971242,0.747246,0.831469,0.826096,0.533333,0.657221,0.751923,0.028728,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
openai,run2,EntityOnly,0.973580,0.692070,0.791643,0.771517,0.457143,0.594153,0.672493,0.025126,-0.039827,-0.076190,-0.063068,-0.079430,-0.003602
openai,run2,CorefOnly,0.966248,0.116438,0.205702,0.191217,0.000000,0.000000,0.125807,0.045437,-0.625767,-0.533333,-0.657221,-0.626116,+0.016710
openai,run3,Full,0.986508,0.749784,0.840565,0.825033,0.533333,0.660917,0.751729,0.019869,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
openai,run3,EntityOnly,0.989845,0.694278,0.801326,0.768585,0.480952,0.608960,0.667855,0.015135,-0.039239,-0.052381,-0.051956,-0.083874,-0.004734
openai,run3,CorefOnly,0.949606,0.105145,0.187131,0.183584,0.000000,0.000000,0.123536,0.048115,-0.653434,-0.533333,-0.660917,-0.628193,+0.028246
openai,average,CorefOnly,0.959554,0.113640,0.200925,0.192288,0.000000,0.000000,0.128738,0.047955,-0.650029,-0.533333,-0.661272,-0.638167,+0.022128
openai,average,EntityOnly,0.982764,0.711958,0.812469,0.780262,0.479365,0.605956,0.683063,0.020606,-0.038485,-0.053968,-0.055315,-0.083842,-0.005222
openai,average,Full,0.979453,0.767610,0.850953,0.836251,0.533333,0.661272,0.766905,0.025827,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
