variant,project,tp,fp,fn,f1
Full,mediastore,30,1,1,0.967742
NoEntityValid,mediastore,30,1,1,0.967742
NoCitation,mediastore,31,1,0,0.984127
NoValidator,mediastore,31,1,0,0.984127
