variant,project,tp,fp,fn,f1
Full,bigbluebutton,40,3,22,0.761905
NoEntityValid,bigbluebutton,45,7,17,0.789474
NoCitation,bigbluebutton,41,7,21,0.745455
NoValidator,bigbluebutton,46,11,16,0.773109
