variant,project,tp,fp,fn,f1
Full,teastore,27,2,0,0.964286
NoEntityValid,teastore,27,8,0,0.870968
NoCitation,teastore,27,3,0,0.947368
NoValidator,teastore,27,9,0,0.857143
