variant,project,tp,fp,fn,f1
Full,mediastore,29,1,2,0.950820
NoEntityValid,mediastore,29,2,2,0.935484
NoCitation,mediastore,29,3,2,0.920635
NoValidator,mediastore,29,4,2,0.906250
