variant,project,tp,fp,fn,f1
Full,teastore,24,0,3,0.941176
NoEntityValid,teastore,24,7,3,0.827586
NoCitation,teastore,25,2,2,0.925926
NoValidator,teastore,25,7,2,0.847458
