run,project,tp,fp,fn,f1,canonical
run1,mediastore,21,0,10,0.807692,yes
run1,teastore,24,0,3,0.941176,yes
run1,teammates,51,3,6,0.918919,yes
run1,bigbluebutton,35,0,27,0.721649,yes
run1,jabref,18,0,0,1.000000,yes
run1,MACRO,,,,0.877887,yes
run2,mediastore,19,0,12,0.760000,
run2,teastore,24,5,3,0.857143,
run2,teammates,52,3,5,0.928571,
run2,bigbluebutton,41,2,21,0.780952,
run2,jabref,18,1,0,0.972973,
run2,MACRO,,,,0.859928,
run3,mediastore,25,0,6,0.892857,
run3,teastore,24,2,3,0.905660,
run3,teammates,52,5,5,0.912281,
run3,bigbluebutton,40,1,22,0.776699,
run3,jabref,18,1,0,0.972973,
run3,MACRO,,,,0.892094,
