backend,run,linker_set,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1
claude,run1,entity_only,mediastore,1.000000,0.612903,0.760000
claude,run1,entity_only,teastore,1.000000,0.740741,0.851064
claude,run1,entity_only,teammates,0.937500,0.789474,0.857143
claude,run1,entity_only,bigbluebutton,1.000000,0.532258,0.694737
claude,run1,entity_only,jabref,1.000000,1.000000,1.000000
claude,run1,coref_only,mediastore,1.000000,0.064516,0.121212
claude,run1,coref_only,teastore,1.000000,0.148148,0.258065
claude,run1,coref_only,teammates,0.928571,0.456140,0.611765
claude,run1,coref_only,bigbluebutton,1.000000,0.080645,0.149254
claude,run1,coref_only,jabref,1.000000,0.611111,0.758621
claude,run1,full,mediastore,1.000000,0.677419,0.807692
claude,run1,full,teastore,1.000000,0.888889,0.941176
claude,run1,full,teammates,0.944444,0.894737,0.918919
claude,run1,full,bigbluebutton,1.000000,0.564516,0.721649
claude,run1,full,jabref,1.000000,1.000000,1.000000
claude,run2,entity_only,mediastore,1.000000,0.548387,0.708333
claude,run2,entity_only,teastore,0.800000,0.740741,0.769231
claude,run2,entity_only,teammates,0.940000,0.824561,0.878505
claude,run2,entity_only,bigbluebutton,0.972973,0.580645,0.727273
claude,run2,entity_only,jabref,0.947368,1.000000,0.972973
claude,run2,coref_only,mediastore,1.000000,0.064516,0.121212
claude,run2,coref_only,teastore,1.000000,0.148148,0.258065
claude,run2,coref_only,teammates,0.931034,0.473684,0.627907
claude,run2,coref_only,bigbluebutton,0.954545,0.338710,0.500000
claude,run2,coref_only,jabref,1.000000,0.611111,0.758621
claude,run2,full,mediastore,1.000000,0.612903,0.760000
claude,run2,full,teastore,0.827586,0.888889,0.857143
claude,run2,full,teammates,0.945455,0.912281,0.928571
claude,run2,full,bigbluebutton,0.953488,0.661290,0.780952
claude,run2,full,jabref,0.947368,1.000000,0.972973
claude,run3,entity_only,mediastore,1.000000,0.741935,0.851852
claude,run3,entity_only,teastore,0.909091,0.740741,0.816327
claude,run3,entity_only,teammates,0.903846,0.824561,0.862385
claude,run3,entity_only,bigbluebutton,0.971429,0.548387,0.701031
claude,run3,entity_only,jabref,0.947368,1.000000,0.972973
claude,run3,coref_only,mediastore,1.000000,0.096774,0.176471
claude,run3,coref_only,teastore,1.000000,0.148148,0.258065
claude,run3,coref_only,teammates,0.952381,0.350877,0.512821
claude,run3,coref_only,bigbluebutton,1.000000,0.161290,0.277778
claude,run3,coref_only,jabref,1.000000,0.555556,0.714286
claude,run3,full,mediastore,1.000000,0.806452,0.892857
claude,run3,full,teastore,0.923077,0.888889,0.905660
claude,run3,full,teammates,0.912281,0.912281,0.912281
claude,run3,full,bigbluebutton,0.975610,0.645161,0.776699
claude,run3,full,jabref,0.947368,1.000000,0.972973
claude,average,entity_only,mediastore,1.000000,0.634409,0.773395
claude,average,entity_only,teastore,0.903030,0.740741,0.812207
claude,average,entity_only,teammates,0.927115,0.812865,0.866011
claude,average,entity_only,bigbluebutton,0.981467,0.553763,0.707680
claude,average,entity_only,jabref,0.964912,1.000000,0.981982
claude,average,coref_only,mediastore,1.000000,0.075269,0.139632
claude,average,coref_only,teastore,1.000000,0.148148,0.258065
claude,average,coref_only,teammates,0.937329,0.426901,0.584164
claude,average,coref_only,bigbluebutton,0.984848,0.193548,0.309011
claude,average,coref_only,jabref,1.000000,0.592593,0.743842
claude,average,full,mediastore,1.000000,0.698925,0.820183
claude,average,full,teastore,0.916888,0.888889,0.901327
claude,average,full,teammates,0.934060,0.906433,0.919924
claude,average,full,bigbluebutton,0.976366,0.623656,0.759767
claude,average,full,jabref,0.964912,1.000000,0.981982
