backend,run,linker_set,macro_f1
claude,run1,entity_only,0.832589
claude,run1,coref_only,0.379783
claude,run1,full,0.877887
claude,run2,entity_only,0.811263
claude,run2,coref_only,0.453161
claude,run2,full,0.859928
claude,run3,entity_only,0.840914
claude,run3,coref_only,0.387884
claude,run3,full,0.892094
claude,average,entity_only,0.828255
claude,average,coref_only,0.406943
claude,average,full,0.876636
