backend,run,linker_set,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_sentence_coverage_vs_full,delta_doc_to_code_noise_rate_vs_full
claude,run1,Full,0.984116,0.748559,0.838732,0.830902,0.444444,0.514126,0.742551,0.023966,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
claude,run1,EntityOnly,0.985200,0.699332,0.804211,0.787728,0.400000,0.485904,0.672010,0.023147,-0.034521,-0.044444,-0.028222,-0.070541,-0.000818
claude,run1,CorefOnly,0.958160,0.261555,0.357769,0.335322,0.042857,0.077419,0.267353,0.033360,-0.480964,-0.401587,-0.436707,-0.475198,+0.009394
claude,run2,Full,0.970060,0.778906,0.851683,0.826041,0.504444,0.669212,0.764773,0.062968,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
claude,run2,EntityOnly,0.969952,0.714404,0.808802,0.771438,0.460000,0.630122,0.683072,0.068677,-0.042881,-0.044444,-0.039090,-0.081700,+0.005709
claude,run2,CorefOnly,0.977296,0.339606,0.452005,0.434965,0.027586,0.064715,0.318464,0.033090,-0.399678,-0.476858,-0.604497,-0.446309,-0.029878
claude,run3,Full,0.957204,0.809991,0.875246,0.853261,0.571111,0.697340,0.795884,0.060094,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
claude,run3,EntityOnly,0.958778,0.755430,0.840965,0.799570,0.510000,0.662980,0.714184,0.060735,-0.034281,-0.061111,-0.034360,-0.081700,+0.000641
claude,run3,CorefOnly,0.967426,0.233898,0.350166,0.363401,0.027586,0.055795,0.275643,0.038376,-0.525080,-0.543525,-0.641544,-0.520242,-0.021718
claude,average,CorefOnly,0.967627,0.278353,0.386647,0.377896,0.032676,0.065976,0.287153,0.034942,-0.468574,-0.473990,-0.560916,-0.480583,-0.014067
claude,average,EntityOnly,0.971310,0.723055,0.817993,0.786245,0.456667,0.593002,0.689755,0.050853,-0.037228,-0.050000,-0.033891,-0.077980,+0.001844
claude,average,Full,0.970460,0.779152,0.855220,0.836735,0.506666,0.626893,0.767736,0.049009,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
