backend,run,linker,tps_caught,unique_tps,fps,delta_f1_if_removed
claude,run1,Entity,135,101,3,+0.498104
claude,run1,Coref,48,14,2,+0.045299
claude,run1,overlap(only_E/both/only_C),101,34,14,
claude,run2,Entity,138,89,10,+0.406767
claude,run2,Coref,65,16,3,+0.048665
claude,run2,overlap(only_E/both/only_C),89,49,16,
claude,run3,Entity,142,112,9,+0.504210
claude,run3,Coref,47,17,1,+0.051181
claude,run3,overlap(only_E/both/only_C),112,30,17,
claude,average,Entity,138.33,100.67,7.33,+0.469694
claude,average,Coref,53.33,15.67,2,+0.048381
claude,average,overlap(only_E/both/only_C),100.67,37.67,15.67,
