backend,run,variant,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_sentence_coverage_vs_full,delta_doc_to_code_noise_rate_vs_full
claude,run1,Full,0.984116,0.748559,0.838732,0.830902,0.444444,0.514126,0.742551,0.023966,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
claude,run1,NoEntityValid,0.907144,0.824515,0.860771,0.815619,0.563922,0.679435,0.789169,0.137933,+0.022039,+0.119477,+0.165310,+0.046618,+0.113967
claude,run1,NoCitation,0.937420,0.783702,0.840420,0.836334,0.423964,0.516588,0.782068,0.083860,+0.001687,-0.020480,+0.002462,+0.039517,+0.059894
claude,run1,NoValidator,0.880038,0.846027,0.858823,0.828286,0.588070,0.690658,0.822068,0.162584,+0.020091,+0.143626,+0.176532,+0.079517,+0.138618
claude,run2,Full,0.970060,0.778906,0.851683,0.826041,0.504444,0.669212,0.764773,0.062968,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
claude,run2,NoEntityValid,0.919944,0.843874,0.878092,0.839414,0.666061,0.848037,0.806947,0.109293,+0.026409,+0.161616,+0.178825,+0.042174,+0.046324
claude,run2,NoCitation,0.922023,0.791635,0.837380,0.826379,0.515197,0.672406,0.788783,0.121508,-0.014303,+0.010753,+0.003194,+0.024010,+0.058540
claude,run2,NoValidator,0.885622,0.856603,0.866846,0.843378,0.675686,0.853439,0.830957,0.151373,+0.015163,+0.171242,+0.184227,+0.066184,+0.088405
claude,run3,Full,0.957204,0.809991,0.875246,0.853261,0.571111,0.697340,0.795884,0.060094,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
claude,run3,NoEntityValid,0.926200,0.826891,0.871469,0.835489,0.566061,0.687869,0.802502,0.106142,-0.003777,-0.005051,-0.009471,+0.006618,+0.046048
claude,run3,NoCitation,0.918414,0.836581,0.873202,0.853926,0.568333,0.695937,0.822164,0.104550,-0.002044,-0.002778,-0.001403,+0.026280,+0.044456
claude,run3,NoValidator,0.895185,0.842494,0.864508,0.839679,0.573333,0.691371,0.824338,0.131637,-0.010738,+0.002222,-0.005969,+0.028454,+0.071543
claude,average,Full,0.970460,0.779152,0.855220,0.836735,0.506666,0.626893,0.767736,0.049009,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
claude,average,NoCitation,0.925952,0.803973,0.850334,0.838880,0.502498,0.628310,0.797672,0.103306,-0.004887,-0.004168,+0.001418,+0.029936,+0.054297
claude,average,NoEntityValid,0.917763,0.831760,0.870111,0.830174,0.598681,0.738447,0.799539,0.117789,+0.014890,+0.092014,+0.111555,+0.031803,+0.068780
claude,average,NoValidator,0.886948,0.848375,0.863392,0.837114,0.612363,0.745156,0.825788,0.148531,+0.008172,+0.105697,+0.118263,+0.058052,+0.099522
