variant,project,tp,fp,fn,f1
Full,teastore,20,0,7,0.851064
NoEntityValid,teastore,22,3,5,0.846154
NoCitation,teastore,21,0,6,0.875000
NoValidator,teastore,23,3,4,0.867925
