project,precision,recall,f1,tp,fp,fn,n_pred
mediastore,0.297029702970297,0.967741935483871,0.4545454545454545,30,71,1,101
teastore,0.24761904761904763,0.9629629629629629,0.393939393939394,26,79,1,105
teammates,0.09615384615384616,0.5263157894736842,0.16260162601626016,30,282,27,312
bigbluebutton,0.15658362989323843,0.7096774193548387,0.2565597667638484,44,237,18,281
jabref,0.75,1.0,0.8571428571428571,18,6,0,24
Macro average,0.3094772453272859,0.8333396214550713,0.4249578196815628,—,—,—,—
