project,link_p,link_r,link_f1,sentence_coverage,noise_rate
mediastore,1.0000,0.8710,0.9310,0.9259,0.0000
teastore,0.9524,0.7407,0.8333,0.6957,0.0588
teammates,0.7692,0.7018,0.7339,0.7111,0.2500
bigbluebutton,0.9268,0.6129,0.7379,0.7083,0.0500
jabref,1.0000,0.8889,0.9412,0.9000,0.0000
Average,0.9297,0.7631,0.8355,0.7882,0.0718
