project,file_p,file_r,file_f1,component_f1,sentence_coverage,noise_rate
mediastore,0.9800,0.8305,0.8991,0.9565,0.9600,0.0400
teastore,1.0000,0.9576,0.9783,0.9825,0.9565,0.0000
teammates,0.8345,0.7708,0.8014,0.6265,0.4674,0.1110
bigbluebutton,0.8250,0.7770,0.8003,0.8356,0.8222,0.1828
jabref,0.9995,1.0000,0.9998,1.0000,1.0000,0.0003
Average,0.9278,0.8672,0.8958,0.8802,0.8412,0.0668
