project,file_p,file_r,file_f1,component_f1,sentence_coverage,noise_rate
mediastore,1.0000,0.7797,0.8762,0.8889,0.8800,0.0000
teastore,0.9901,0.7086,0.8261,0.8200,0.6957,0.0588
teammates,0.8646,0.6686,0.7541,0.4800,0.3587,0.0811
bigbluebutton,0.8519,0.7371,0.7903,0.6034,0.7111,0.1589
jabref,0.9995,0.9956,0.9976,0.8696,0.9000,0.0003
Average,0.9412,0.7779,0.8488,0.7324,0.7091,0.0598
