project,file_p,file_r,file_f1,component_f1,sentence_coverage,noise_rate
mediastore,1.0000,0.8475,0.9174,0.9855,1.0000,0.0000
teastore,0.9972,1.0000,0.9986,0.9915,1.0000,0.0417
teammates,0.9669,0.7749,0.8603,0.6220,0.4565,0.0680
bigbluebutton,0.8248,0.7822,0.8030,0.9139,0.8889,0.1819
jabref,0.9995,0.9990,0.9993,0.9767,0.9000,0.0003
Average,0.9577,0.8807,0.9157,0.8979,0.8491,0.0584
