project,file_p,file_r,file_f1,component_f1,sentence_coverage,noise_rate
mediastore,0.0612,0.6271,0.1114,0.1438,1.0000,0.9327
teastore,0.3464,0.3253,0.3355,0.2841,1.0000,0.6751
bigbluebutton,0.1482,0.1354,0.1415,0.1545,0.6222,0.8450
Average,0.1852,0.3626,0.1962,0.1941,0.8741,0.8176
