project,file_p,file_r,file_f1,component_f1,sentence_coverage,noise_rate
mediastore,0.9615,0.4237,0.5882,0.6415,0.6400,0.0588
teastore,1.0000,0.7086,0.8295,0.8283,0.6957,0.0000
teammates,0.7531,0.9024,0.8211,0.6476,0.5978,0.2991
bigbluebutton,0.8203,0.8417,0.8309,0.5741,0.8222,0.2114
jabref,0.8927,1.0000,0.9433,0.8800,1.0000,0.0823
Average,0.8855,0.7753,0.8026,0.7143,0.7511,0.1303
