project,link_p,link_r,link_f1,sentence_coverage,noise_rate
mediastore,1.0000,0.9355,0.9667,0.9630,0.0000
teastore,1.0000,0.9630,0.9811,0.9565,0.0000
teammates,0.8750,0.8596,0.8673,0.9333,0.1354
bigbluebutton,0.9149,0.6935,0.7890,0.8125,0.0732
jabref,0.9412,0.8889,0.9143,0.9000,0.0556
Average,0.9462,0.8681,0.9037,0.9131,0.0528
