project,link_p,link_r,link_f1,sentence_coverage,noise_rate
mediastore,1.0000,0.8710,0.9310,0.9259,0.0000
teastore,0.9643,1.0000,0.9818,1.0000,0.0417
teammates,0.9123,0.9123,0.9123,0.9556,0.0957
bigbluebutton,0.9630,0.8387,0.8966,0.8958,0.0341
jabref,1.0000,0.9444,0.9714,0.9000,0.0000
Average,0.9679,0.9133,0.9386,0.9355,0.0343
