task,project,baseline,micro_f1,comp_f1,coverage,noise,file_f1
sad-code,mediastore,top3,0.3636,0.1208,0.4000,0.7467,0.3636
sad-code,mediastore,random,0.0169,0.0132,0.0400,0.9940,0.0169
sad-code,mediastore,gold,1.0000,1.0000,1.0000,0.0000,1.0000
sad-code,teastore,top3,0.3714,0.2141,0.6087,0.7638,0.3714
sad-code,teastore,random,0.1471,0.1225,0.7391,0.8507,0.1471
sad-code,teastore,gold,1.0000,1.0000,1.0000,0.0000,1.0000
sad-code,teammates,top3,0.1843,0.1259,0.5435,0.8916,0.1843
sad-code,teammates,random,0.1099,0.2843,0.7391,0.8903,0.1099
sad-code,teammates,gold,1.0000,1.0000,1.0000,0.0000,1.0000
sad-code,bigbluebutton,top3,0.2471,0.0604,0.1778,0.8353,0.2471
sad-code,bigbluebutton,random,0.0595,0.2576,0.7778,0.9404,0.0595
sad-code,bigbluebutton,gold,1.0000,1.0000,1.0000,0.0000,1.0000
sad-code,jabref,top3,0.5963,0.4107,0.7000,0.5741,0.5963
sad-code,jabref,random,0.4123,0.5377,1.0000,0.5867,0.4123
sad-code,jabref,gold,1.0000,1.0000,1.0000,0.0000,1.0000
sad-sam,mediastore,top3,0.2857,0.0982,0.5185,0.8025,NA
sad-sam,mediastore,random,0.1613,0.1508,0.1852,0.8485,NA
sad-sam,mediastore,gold,1.0000,1.0000,1.0000,0.0000,NA
sad-sam,teastore,top3,0.3542,0.1975,0.7391,0.7536,NA
sad-sam,teastore,random,0.2593,0.2219,0.3043,0.7193,NA
sad-sam,teastore,gold,1.0000,1.0000,1.0000,0.0000,NA
sad-sam,teammates,top3,0.3542,0.1496,0.6444,0.7481,NA
sad-sam,teammates,random,0.1053,0.1104,0.1333,0.9113,NA
sad-sam,teammates,gold,1.0000,1.0000,1.0000,0.0000,NA
sad-sam,bigbluebutton,top3,0.3301,0.1029,0.5417,0.7639,NA
sad-sam,bigbluebutton,random,0.1129,0.1152,0.1458,0.8773,NA
sad-sam,bigbluebutton,gold,1.0000,1.0000,1.0000,0.0000,NA
sad-sam,jabref,top3,0.5833,0.3786,0.7000,0.5333,NA
sad-sam,jabref,random,0.3889,0.4000,0.6000,0.6562,NA
sad-sam,jabref,gold,1.0000,1.0000,1.0000,0.0000,NA
sad-code,AVG,top3,0.3525,0.1864,0.4860,0.7623,0.3525
sad-code,AVG,random,0.1492,0.2430,0.6592,0.8524,0.1492
sad-code,AVG,gold,1.0000,1.0000,1.0000,0.0000,1.0000
sad-sam,AVG,top3,0.3815,0.1854,0.6288,0.7203,NA
sad-sam,AVG,random,0.2055,0.1997,0.2737,0.8025,NA
sad-sam,AVG,gold,1.0000,1.0000,1.0000,0.0000,NA
