project,raw,dir_entries,dir_pct,enrolled,factor
mediastore,57,2,3.509,59,1.035
teastore,70,43,61.429,707,10.100
teammates,228,151,66.228,8097,35.513
bigbluebutton,132,116,87.879,1529,11.583
jabref,38,38,100.000,8268,217.579
Total,525,350,,18660,35.543
