project,n_components,sent_min,sent_median,sent_max,comp_sent_gini,top1_pct,top3_pct
mediastore,10,1,3.000,7,0.306,22.581,51.613
teastore,6,2,5.000,6,0.179,22.222,62.963
teammates,8,4,5.000,15,0.261,26.316,59.649
bigbluebutton,11,2,4,14,0.370,22.581,54.839
jabref,5,2,4,6,0.222,33.333,77.778
AVG,8.000,2.200,4.200,9.600,0.268,25.407,61.368
