backend,variant,doc_to_model_macro_f1,dc_file_precision,dc_file_recall,dc_file_f1,dc_sentence_coverage,dc_worst_component_f1,dc_harmonic_component_f1
openai,Full,0.936045,0.962997,0.859037,0.906281,0.841716,0.753043,0.883836
openai,Direct,0.879968,0.983114,0.771749,0.860149,0.738216,0.694444,0.833830
openai,Indirect,0.242176,0.889890,0.139843,0.237650,0.145433,0.000000,0.000000
openai,No knowledge,0.878098,0.979453,0.767610,0.850953,0.766905,0.533333,0.661272
claude,Full,0.926453,0.969946,0.859994,0.908402,0.842741,0.576027,0.703754
claude,Direct,0.860652,0.976423,0.757683,0.848513,0.724022,0.528889,0.660816
claude,Indirect,0.610387,0.947913,0.486461,0.595790,0.488837,0.281843,0.383303
claude,No knowledge,0.876636,0.970460,0.779152,0.855220,0.767736,0.506666,0.626893
