backend,variant,doc_to_model_macro_f1,dc_file_precision,dc_file_recall,dc_file_f1,dc_sentence_coverage,dc_worst_component_f1,dc_harmonic_component_f1
openai,Full,0.941456,0.972268,0.859631,0.910123,0.843594,0.733100,0.879189
openai,Direct,0.881532,0.984936,0.772028,0.861289,0.740850,0.700000,0.833890
openai,Indirect,0.258347,0.904724,0.148566,0.252176,0.151295,0.000000,0.000000
openai,No knowledge,0.893640,0.980609,0.805799,0.880826,0.797063,0.533333,0.665679
claude,Full,0.931787,0.967385,0.880043,0.919502,0.852290,0.541818,0.698802
claude,Direct,0.866467,0.976839,0.771538,0.857935,0.729884,0.526667,0.658019
claude,Indirect,0.589083,0.935924,0.503806,0.604740,0.476464,0.262963,0.402516
claude,No knowledge,0.877887,0.984116,0.748559,0.838732,0.742551,0.444444,0.514126
