project,ent_fp_rej,ent_tp_rej,coref_fp_rej,coref_tp_rej
MediaStore,2,1,2,5
TeaStore,2,1,0,5
Teammates,26,4,19,9
BigBlueButton,1,2,5,14
JabRef,3,0,5,2
Macro,7,2,6,7
