system,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_sentence_coverage,doc_to_model_noise_rate,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
approach (GPT-5.4),0.9894,0.8913,0.9360,0.9373,0.0114,0.9630,0.8590,0.9063,0.8828,0.7530,0.8838,0.8417,0.0367
approach (Claude),0.9610,0.9010,0.9265,0.9403,0.0408,0.9699,0.8600,0.9084,0.8827,0.5760,0.7038,0.8427,0.0537
Artemis (GPT-5.4),0.9297,0.7631,0.8355,0.7882,0.0718,0.9412,0.7779,0.8488,0.8090,0.3455,0.4656,0.7091,0.0598
TransArC,0.8695,0.7717,0.7990,0.7890,0.1374,0.8855,0.7753,0.8026,0.8189,0.5445,0.6734,0.7511,0.1303
