backend,variant,project,dm_link_precision,dm_link_recall,dm_link_f1,dc_file_precision,dc_file_recall,dc_file_f1,dc_component_micro_f1,dc_worst_component_f1,dc_harmonic_component_f1,dc_sentence_coverage,dc_noise_rate
openai,Full,mediastore,1.000000,0.924731,0.960829,1.000000,0.819209,0.900535,0.975533,0.911681,0.986343,0.946667,0.000000
openai,Full,teastore,1.000000,0.925926,0.961538,1.000000,0.930693,0.964103,0.961538,0.909091,0.967742,0.956522,0.000000
openai,Full,teammates,0.960784,0.847953,0.900769,0.923417,0.735169,0.818131,0.578658,0.333333,0.590300,0.423913,0.048200
openai,Full,bigbluebutton,0.986253,0.758065,0.857087,0.892054,0.810116,0.848877,0.898520,0.611111,0.874797,0.881482,0.135072
openai,Full,jabref,1.000000,1.000000,1.000000,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,Full,Average,0.989407,0.891335,0.936045,0.962997,0.859037,0.906281,0.882850,0.753043,0.883836,0.841716,0.036714
openai,Direct,mediastore,1.000000,0.827957,0.905806,1.000000,0.717514,0.835425,0.916038,0.805555,0.941412,0.826667,0.000000
openai,Direct,teastore,1.000000,0.740741,0.851064,1.000000,0.708628,0.829470,0.851064,0.666667,0.842105,0.739130,0.000000
openai,Direct,teammates,0.992248,0.742690,0.849495,0.995754,0.681569,0.809228,0.531864,0.333333,0.542685,0.362319,0.009804
openai,Direct,bigbluebutton,0.992248,0.661290,0.793477,0.920301,0.751036,0.826863,0.830459,0.666667,0.842950,0.762963,0.114918
openai,Direct,jabref,1.000000,1.000000,1.000000,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,Direct,Average,0.996899,0.794536,0.879968,0.983114,0.771749,0.860149,0.825885,0.694444,0.833830,0.738216,0.025004
openai,Indirect,mediastore,1.000000,0.129032,0.228571,1.000000,0.101695,0.184615,0.193548,0.000000,0.000000,0.120000,0.000000
openai,Indirect,teastore,1.000000,0.185185,0.312500,1.000000,0.222065,0.363426,0.312500,0.000000,0.000000,0.217391,0.000000
openai,Indirect,teammates,0.861905,0.210526,0.338207,0.751107,0.177885,0.287269,0.187148,0.000000,0.000000,0.126812,0.143590
openai,Indirect,bigbluebutton,0.969697,0.129032,0.226338,0.698346,0.080009,0.142552,0.274555,0.000000,0.000000,0.162963,0.246927
openai,Indirect,jabref,1.000000,0.055556,0.105263,1.000000,0.117562,0.210390,0.086957,0.000000,0.000000,0.100000,0.000000
openai,Indirect,Average,0.966320,0.141866,0.242176,0.889890,0.139843,0.237650,0.210942,0.000000,0.000000,0.145433,0.078104
openai,No knowledge,mediastore,1.000000,0.666667,0.797576,1.000000,0.559322,0.710164,0.846700,0.000000,0.000000,0.773333,0.000000
openai,No knowledge,teastore,1.000000,0.765432,0.867021,1.000000,0.729845,0.843671,0.867021,0.666667,0.862520,0.811594,0.000000
openai,No knowledge,teammates,0.986661,0.859649,0.918705,0.995831,0.737022,0.847095,0.597883,0.333333,0.599929,0.434783,0.008279
openai,No knowledge,bigbluebutton,0.978100,0.688172,0.807186,0.901918,0.811860,0.854078,0.869651,0.666667,0.843913,0.814815,0.120560
openai,No knowledge,jabref,1.000000,1.000000,1.000000,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,No knowledge,Average,0.992952,0.795984,0.878098,0.979453,0.767610,0.850953,0.836251,0.533333,0.661272,0.766905,0.025827
claude,Full,mediastore,0.976902,0.913978,0.943653,0.986389,0.807909,0.888127,0.957568,0.740741,0.947848,0.960000,0.026667
claude,Full,teastore,0.954762,0.987654,0.970106,0.994854,0.991042,0.992877,0.970106,0.939394,0.989071,0.985507,0.052351
claude,Full,teammates,0.944167,0.883041,0.912347,0.972366,0.749331,0.846341,0.609918,0.333333,0.608515,0.431160,0.041876
claude,Full,bigbluebutton,0.964458,0.720430,0.824178,0.898051,0.751690,0.815635,0.890684,0.000000,0.000000,0.837037,0.145794
claude,Full,jabref,0.964912,1.000000,0.981982,0.998069,1.000000,0.999033,0.985185,0.866667,0.973333,1.000000,0.001948
claude,Full,Average,0.961040,0.901021,0.926453,0.969946,0.859994,0.908402,0.882692,0.576027,0.703754,0.842741,0.053727
claude,Direct,mediastore,1.000000,0.817204,0.898389,1.000000,0.706215,0.827712,0.909000,0.777778,0.934623,0.840000,0.000000
claude,Direct,teastore,0.956522,0.716049,0.817391,0.996055,0.697313,0.820247,0.817391,0.666667,0.827750,0.681159,0.052632
claude,Direct,teammates,0.951093,0.795322,0.866239,0.975010,0.706229,0.819120,0.562228,0.333333,0.568375,0.380435,0.044241
claude,Direct,bigbluebutton,0.957467,0.602151,0.739257,0.912978,0.678657,0.776451,0.796811,0.000000,0.000000,0.718518,0.131110
claude,Direct,jabref,0.964912,1.000000,0.981982,0.998069,1.000000,0.999033,0.985185,0.866667,0.973333,1.000000,0.001948
claude,Direct,Average,0.965999,0.786145,0.860652,0.976423,0.757683,0.848513,0.814123,0.528889,0.660816,0.724022,0.045986
claude,Indirect,mediastore,0.850000,0.215054,0.328187,0.919048,0.192090,0.309956,0.331342,0.000000,0.000000,0.240000,0.150000
claude,Indirect,teastore,0.986111,0.802469,0.883661,0.997542,0.899104,0.945238,0.883661,0.607143,0.853051,0.855072,0.015873
claude,Indirect,teammates,0.922241,0.491228,0.636514,0.971329,0.386151,0.548633,0.403743,0.135404,0.273993,0.289855,0.040477
claude,Indirect,bigbluebutton,0.955556,0.225806,0.364862,0.852123,0.191411,0.309382,0.417793,0.000000,0.000000,0.259259,0.171936
claude,Indirect,jabref,1.000000,0.722222,0.838710,0.999525,0.763546,0.865743,0.842105,0.666667,0.789474,0.800000,0.000306
claude,Indirect,Average,0.942782,0.491356,0.610387,0.947913,0.486461,0.595790,0.575729,0.281843,0.383303,0.488837,0.075718
claude,No knowledge,mediastore,1.000000,0.698925,0.820183,1.000000,0.564972,0.713908,0.853473,0.277778,0.321716,0.786667,0.000000
claude,No knowledge,teastore,0.916888,0.888889,0.901327,0.992252,0.840170,0.909889,0.901326,0.888889,0.948617,0.869565,0.085859
claude,No knowledge,teammates,0.934060,0.906433,0.919924,0.975856,0.773373,0.862827,0.627070,0.333333,0.618987,0.456522,0.038447
claude,No knowledge,bigbluebutton,0.976366,0.623656,0.759767,0.886122,0.717244,0.790444,0.816618,0.166667,0.271810,0.725926,0.118793
claude,No knowledge,jabref,0.964912,1.000000,0.981982,0.998069,1.000000,0.999033,0.985185,0.866667,0.973333,1.000000,0.001948
claude,No knowledge,Average,0.958445,0.823581,0.876637,0.970460,0.779152,0.855220,0.836735,0.506666,0.626893,0.767736,0.049009
