system,dm_p,dm_r,dm_f1,dc_p,dc_r,dc_f1
approach,0.9894,0.8913,0.9360,0.9630,0.8590,0.9063
Artemis,0.9297,0.7631,0.8355,0.9412,0.7779,0.8488
SWATTR,0.8695,0.7717,0.7990,,,
TransArC,,,,0.8855,0.7753,0.8026
