system,dm_link_f1,dm_sentence_coverage,silent_failure_mass,dc_file_f1,dc_sentence_coverage,worst_component_f1,harmonic_component_f1
approach,0.9360,0.9373,0.0000,0.9063,0.8417,0.7530,0.8838
Artemis,0.8355,0.7882,7.0556,0.8488,0.7091,0.3455,0.4656
TransArC,0.7990,0.7890,7.4074,0.8026,0.7511,0.5445,0.6734
