variant,doc_to_model_macro_f1,dc_file_f1,dc_sentence_coverage,dc_worst_component_f1,dc_harmonic_component_f1,unique_tps
Full,0.936045,0.906281,0.841716,0.753043,0.883836,
Direct,0.879968,0.860149,0.738216,0.694444,0.833830,137
Indirect,0.242176,0.237650,0.145433,0.000000,0.000000,20
No knowledge,0.878098,0.850953,0.766905,0.533333,0.661272,
