system,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_sentence_coverage,doc_to_model_noise_rate,doc_to_model_silent_failure_mass,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
approach (GPT-5.4),mediastore,1.0000,0.9247,0.9608,0.9506,0.0000,0.0000,1.0000,0.8192,0.9005,0.9755,0.9117,0.9863,0.9467,0.0000
approach (GPT-5.4),teastore,1.0000,0.9259,0.9615,0.9565,0.0000,0.0000,1.0000,0.9307,0.9641,0.9615,0.9091,0.9677,0.9565,0.0000
approach (GPT-5.4),teammates,0.9608,0.8480,0.9008,0.9111,0.0455,0.0000,0.9234,0.7352,0.8181,0.5787,0.3333,0.5903,0.4239,0.0482
approach (GPT-5.4),bigbluebutton,0.9863,0.7581,0.8571,0.8681,0.0116,0.0000,0.8921,0.8101,0.8489,0.8985,0.6111,0.8748,0.8815,0.1351
approach (GPT-5.4),jabref,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.9995,1.0000,0.9998,1.0000,1.0000,1.0000,1.0000,0.0003
approach (GPT-5.4),Average,0.9894,0.8913,0.9360,0.9373,0.0114,0.0000,0.9630,0.8590,0.9063,0.8828,0.7530,0.8838,0.8417,0.0367
approach (Claude),mediastore,0.9769,0.9140,0.9437,0.9630,0.0252,3.7037,0.9864,0.8079,0.8881,0.9576,0.7407,0.9478,0.9600,0.0267
approach (Claude),teastore,0.9548,0.9877,0.9701,0.9855,0.0524,0.0000,0.9949,0.9910,0.9929,0.9701,0.9394,0.9891,0.9855,0.0524
approach (Claude),teammates,0.9442,0.8830,0.9123,0.9407,0.0526,0.0000,0.9724,0.7493,0.8463,0.6099,0.3333,0.6085,0.4312,0.0419
approach (Claude),bigbluebutton,0.9645,0.7204,0.8242,0.8125,0.0405,4.1667,0.8981,0.7517,0.8156,0.8907,0.0000,0.0000,0.8370,0.1458
approach (Claude),jabref,0.9649,1.0000,0.9820,1.0000,0.0333,0.0000,0.9981,1.0000,0.9990,0.9852,0.8667,0.9733,1.0000,0.0019
approach (Claude),Average,0.9610,0.9010,0.9265,0.9403,0.0408,1.5741,0.9699,0.8600,0.9084,0.8827,0.5760,0.7038,0.8427,0.0537
Artemis (GPT-5.4),mediastore,1.0000,0.8710,0.9310,0.9259,0.0000,0.0000,1.0000,0.7797,0.8762,0.9231,0.7273,0.9432,0.8800,0.0000
Artemis (GPT-5.4),teastore,0.9524,0.7407,0.8333,0.6957,0.0588,0.0000,0.9901,0.7086,0.8261,0.8333,0.6667,0.8304,0.6957,0.0588
Artemis (GPT-5.4),teammates,0.7692,0.7018,0.7339,0.7111,0.2500,11.1111,0.8646,0.6686,0.7541,0.5419,0.3333,0.5545,0.3587,0.0811
Artemis (GPT-5.4),bigbluebutton,0.9268,0.6129,0.7379,0.7083,0.0500,4.1667,0.8519,0.7371,0.7903,0.7941,0.0000,0.0000,0.7111,0.1589
Artemis (GPT-5.4),jabref,1.0000,0.8889,0.9412,0.9000,0.0000,20.0000,0.9995,0.9956,0.9976,0.9524,0.0000,0.0000,0.9000,0.0003
Artemis (GPT-5.4),Average,0.9297,0.7631,0.8355,0.7882,0.0718,7.0556,0.9412,0.7779,0.8488,0.8090,0.3455,0.4656,0.7091,0.0598
TransArC,mediastore,0.9444,0.5484,0.6939,0.5926,0.0588,37.0370,0.9615,0.4237,0.5882,0.7391,0.0000,0.0000,0.6400,0.0588
TransArC,teastore,1.0000,0.7407,0.8511,0.6957,0.0000,0.0000,1.0000,0.7086,0.8295,0.8511,0.6667,0.8421,0.6957,0.0000
TransArC,teammates,0.6049,0.8596,0.7101,0.8444,0.4470,0.0000,0.7531,0.9024,0.8211,0.7158,0.5128,0.7144,0.5978,0.2991
TransArC,bigbluebutton,0.8980,0.7097,0.7928,0.8125,0.0813,0.0000,0.8203,0.8417,0.8309,0.8322,0.7429,0.8695,0.8222,0.2114
TransArC,jabref,0.9000,1.0000,0.9474,1.0000,0.1000,0.0000,0.8927,1.0000,0.9433,0.9565,0.8000,0.9412,1.0000,0.0823
TransArC,Average,0.8695,0.7717,0.7990,0.7890,0.1374,7.4074,0.8855,0.7753,0.8026,0.8189,0.5445,0.6734,0.7511,0.1303
