backend,variant,doc_to_model_macro_f1,dc_file_precision,dc_file_recall,dc_file_f1,dc_sentence_coverage,dc_worst_component_f1,dc_harmonic_component_f1
openai,Full,0.933789,0.959527,0.858173,0.904832,0.841420,0.766434,0.883614
openai,Direct,0.879892,0.981782,0.770570,0.859181,0.738676,0.700000,0.831667
openai,Indirect,0.231228,0.886662,0.135785,0.230257,0.140232,0.000000,0.000000
openai,No knowledge,0.868768,0.986508,0.749784,0.840565,0.751729,0.533333,0.660917
claude,Full,0.910266,0.969205,0.832570,0.890902,0.832338,0.600000,0.706931
claude,Direct,0.851447,0.974084,0.735601,0.832747,0.720995,0.550000,0.668821
claude,Indirect,0.598889,0.943164,0.470760,0.575287,0.490889,0.334946,0.426234
claude,No knowledge,0.892094,0.957204,0.809991,0.875246,0.795884,0.571111,0.697340
