backend,variant,doc_to_model_macro_f1,dc_file_precision,dc_file_recall,dc_file_f1,dc_sentence_coverage,dc_worst_component_f1,dc_harmonic_component_f1
openai,Full,0.932889,0.957197,0.859308,0.903888,0.840135,0.759596,0.888706
openai,Direct,0.878481,0.982625,0.772650,0.859976,0.735121,0.683333,0.835934
openai,Indirect,0.236953,0.878285,0.135178,0.230518,0.144773,0.000000,0.000000
openai,No knowledge,0.871884,0.971242,0.747246,0.831469,0.751923,0.533333,0.657221
claude,Full,0.937307,0.973248,0.867370,0.914803,0.843594,0.586263,0.705528
claude,Direct,0.864041,0.978345,0.765909,0.854856,0.721188,0.510000,0.655609
claude,Indirect,0.643188,0.964652,0.484816,0.607344,0.499159,0.247619,0.321160
claude,No knowledge,0.859928,0.970060,0.778906,0.851683,0.764773,0.504444,0.669212
