variant,project,tp,fp,fn,f1
Full,bigbluebutton,35,0,27,0.721649
NoEntityValid,bigbluebutton,37,3,25,0.725490
NoCitation,bigbluebutton,38,3,24,0.737864
NoValidator,bigbluebutton,40,6,22,0.740741
