project,link_f1,sentence_f1,decision_f1,component_f1,file_f1,weighted_f1,mcc,map,acf1,ndg,hus
mediastore,0.931,0.962,0.931,0.931,—,—,0.930,0.889,—,—,0.962
teastore,0.833,0.800,0.833,0.833,—,—,0.835,0.696,—,—,0.800
teammates,0.734,0.759,0.734,0.734,—,—,0.729,0.678,—,—,0.724
bigbluebutton,0.738,0.819,0.738,0.738,—,—,0.747,0.638,—,—,0.798
jabref,0.941,0.947,0.941,0.941,—,—,0.927,0.850,—,—,0.947
Average,0.835,0.857,0.835,0.835,—,—,0.834,0.750,—,—,0.846
