project,precision,recall,f1,tp,fp,fn,n_pred
mediastore,0.9444444444444444,0.5483870967741935,0.6938775510204082,17,1,14,18
teastore,1.0,0.7407407407407407,0.851063829787234,20,0,7,20
teammates,0.6049382716049383,0.8596491228070176,0.7101449275362319,49,32,8,81
bigbluebutton,0.8979591836734694,0.7096774193548387,0.7927927927927928,44,5,18,49
jabref,0.9,1.0,0.9473684210526316,18,2,0,20
Macro average,0.8694683799445704,0.7716908759353581,0.7990495044378597,—,—,—,—
