project,link_f1,sentence_f1,decision_f1,component_f1,file_f1,weighted_f1,mcc,map,acf1,ndg,hus
mediastore,0.4545454545454545,0.8437499999999999,0.4545454545454545,0.4545454545454545,—,—,0.5046121863455026,0.8796296296296297,—,—,0.6296296296296297
teastore,0.393939393939394,0.71875,0.393939393939394,0.393939393939394,—,—,0.46094906484993053,0.8297101449275361,—,—,0.5543307086614173
teammates,0.16260162601626016,0.3333333333333333,0.16260162601626016,0.16260162601626016,—,—,0.1896929321352771,0.37020786092214664,—,—,0.1044776119402985
bigbluebutton,0.2565597667638484,0.7286821705426356,0.2565597667638484,0.2565597667638484,—,—,0.2909878555617321,0.4271990740740741,—,—,0.09281906553778614
jabref,0.8571428571428571,0.9090909090909091,0.8571428571428571,0.8571428571428571,—,—,0.8215838362577491,0.95,—,—,0.7368421052631579
