project,precision,recall,f1,tp,fp,fn,n_pred
mediastore,0.9615384615384616,0.423728813559322,0.5882352941176471,25,1,34,26
teastore,1.0,0.7086280056577087,0.8294701986754968,501,0,206,501
teammates,0.7531436817151103,0.9024329998764975,0.8210573627731894,7307,2395,790,9702
bigbluebutton,0.8202676864244742,0.841726618705036,0.8308586184635249,1287,282,242,1569
jabref,0.8926797667890305,1.0,0.9432972047917856,8268,994,0,9262
Macro average,0.8855259192934153,0.7753032875597128,0.8025837357643286,—,—,—,—
