project,link_f1,sentence_f1,decision_f1,component_f1,file_f1,weighted_f1,mcc,map,acf1,ndg,hus
mediastore,—,—,0.871,0.889,0.876,0.871,0.879,—,0.923,0.855,0.936
teastore,—,—,0.810,0.820,0.826,0.810,0.808,—,0.833,0.802,0.800
teammates,—,—,0.491,0.480,0.754,0.488,0.736,—,0.544,0.846,0.515
bigbluebutton,—,—,0.634,0.603,0.790,0.628,0.765,—,0.389,0.806,0.445
jabref,—,—,0.923,0.870,0.998,0.923,0.996,—,0.842,0.996,0.687
Average,—,—,0.746,0.732,0.849,0.744,0.837,—,0.706,0.861,0.677
