project,link_f1,sentence_f1,decision_f1,component_f1,file_f1,weighted_f1,mcc,map,acf1,ndg,hus
mediastore,—,—,0.22801302931596096,0.17142857142857146,0.13627992633517494,0.22801302931596096,0.1281058843343397,—,0.1549651180050466,0.013929677471013185,0.0
teastore,—,—,0.22222222222222224,0.2882882882882883,0.33156699470098405,0.21393242726957173,0.1823493659228538,—,0.14527100309202307,0.24057410426108358,0.13043478260869565
bigbluebutton,—,—,0.03819918144611187,0.16929133858267717,0.12682926829268293,0.03682023548674472,0.019944490678025964,—,0.026330087638198985,0.07926414554475639,0.10869565217391304
teammates,—,—,—,—,—,—,—,—,—,—,—
jabref,—,—,—,—,—,—,—,—,—,—,—
