dataset,gold_enrolled,gold_raw,ta_links,ta_file_TP,ta_file_FP,ta_file_FN,ta_file_P,ta_file_R,ta_file_F1,ta_dec_TP,ta_dec_FP,ta_dec_FN,ta_dec_P,ta_dec_R,ta_dec_F1,ta_comp_TP,ta_comp_FP,ta_comp_FN,ta_comp_P,ta_comp_R,ta_comp_F1,ta_wt_P,ta_wt_R,ta_wt_F1,s12c_links,s12c_file_TP,s12c_file_FP,s12c_file_FN,s12c_file_P,s12c_file_R,s12c_file_F1,s12c_dec_TP,s12c_dec_FP,s12c_dec_FN,s12c_dec_P,s12c_dec_R,s12c_dec_F1,s12c_comp_TP,s12c_comp_FP,s12c_comp_FN,s12c_comp_P,s12c_comp_R,s12c_comp_F1,s12c_wt_P,s12c_wt_R,s12c_wt_F1,s12e_links,s12e_file_TP,s12e_file_FP,s12e_file_FN,s12e_file_P,s12e_file_R,s12e_file_F1,s12e_dec_TP,s12e_dec_FP,s12e_dec_FN,s12e_dec_P,s12e_dec_R,s12e_dec_F1,s12e_comp_TP,s12e_comp_FP,s12e_comp_FN,s12e_comp_P,s12e_comp_R,s12e_comp_F1,s12e_wt_P,s12e_wt_R,s12e_wt_F1,delta_s12c_file_F1,delta_s12c_dec_F1,delta_s12c_comp_F1,delta_s12c_wt_F1,delta_s12e_file_F1,delta_s12e_dec_F1,delta_s12e_comp_F1,delta_s12e_wt_F1
mediastore,59,57,26,25,1,34,96.2,42.4,58.8,23,1,34,95.8,40.4,56.8,17,1,18,94.4,48.6,64.2,95.8,40.4,56.8,53,52,1,7,98.1,88.1,92.9,50,1,7,98.0,87.7,92.6,35,1,0,97.2,100.0,98.6,98.0,87.7,92.6,55,52,3,7,94.5,88.1,91.2,50,3,7,94.3,87.7,90.9,35,2,0,94.6,100.0,97.2,94.3,87.7,90.9,34.1,35.8,34.4,35.8,32.4,34.1,33.0,34.1
teastore,707,70,501,501,0,206,100.0,70.9,82.9,49,0,21,100.0,70.0,82.4,41,0,17,100.0,70.7,82.8,100.0,70.0,82.4,679,677,2,30,99.7,95.8,97.7,68,2,2,97.1,97.1,97.1,56,1,2,98.2,96.6,97.4,97.1,97.1,97.1,677,677,0,30,100.0,95.8,97.8,68,0,2,100.0,97.1,98.6,56,0,2,100.0,96.6,98.2,100.0,97.1,98.6,14.8,14.7,14.6,14.7,14.9,16.2,15.4,16.2
teammates,8097,228,9702,7307,2395,790,75.3,90.2,82.1,137,123,89,52.7,60.6,56.4,136,22,126,86.1,51.9,64.8,51.0,59.3,54.9,6319,6273,46,1824,99.3,77.5,87.0,96,4,130,96.0,42.5,58.9,100,2,162,98.0,38.2,54.9,95.6,40.3,56.7,6314,6223,91,1874,98.6,76.9,86.4,96,8,130,92.3,42.5,58.2,102,2,160,98.1,38.9,55.7,91.6,40.3,56.0,4.9,2.5,-9.9,1.8,4.3,1.8,-9.1,1.1
bigbluebutton,1529,132,1569,1287,282,242,82.0,84.2,83.1,105,97,27,52.0,79.5,62.9,124,150,34,45.3,78.5,57.4,51.2,78.9,62.1,1552,1336,216,193,86.1,87.4,86.7,108,87,24,55.4,81.8,66.1,128,118,30,52.0,81.0,63.4,54.7,81.3,65.4,1700,1374,326,155,80.8,89.9,85.1,112,103,20,52.1,84.8,64.6,134,140,24,48.9,84.8,62.0,51.4,84.4,63.9,3.6,3.2,6.0,3.3,2.0,1.7,4.6,1.8
jabref,8268,38,9262,8268,994,0,89.3,100.0,94.3,38,117,0,24.5,100.0,39.4,22,6,0,78.6,100.0,88.0,24.5,100.0,39.4,8290,8268,22,0,99.7,100.0,99.9,38,5,0,88.4,100.0,93.8,22,5,0,81.5,100.0,89.8,88.4,100.0,93.8,8272,8268,4,0,100.0,100.0,100.0,38,4,0,90.5,100.0,95.0,22,4,0,84.6,100.0,91.7,90.5,100.0,95.0,5.6,54.4,1.8,54.4,5.7,55.6,3.7,55.6
MACRO_AVG,,,,,,,,,80.2,,,,,,59.6,,,,,,71.4,,,59.1,,,,,,,92.8,,,,,,81.7,,,,,,80.8,,,81.1,,,,,,,92.1,,,,,,81.5,,,,,,81.0,,,80.9,12.6,22.1,9.4,22.0,11.9,21.9,9.6,21.8
